Cocunut,AGE,YEARS_WITH_BANK,MARTIAL_STATUS,EDUCATION,EMPLOYMENT,GENDER,CUST_INCOME,CURRENT_ADDRESS_DATE,CURRENT_JOB_DATE,CURRENT_WITH_BANK_DATE,CURRENT_BALANCE_EUR
80040,45,8,M,BCR,STE,F,"681,2769231",01/11/2010,10/02/1994,21/04/2009,"9484,615385"
80041,54,7,M,HGH,STE,M,"255,4769231",01/01/1992,01/05/1980,06/07/2009,"1854,811923"
80042,67,4,W,HGH,RET,F,"285,7373846",01/06/1980,01/10/9999,14/05/2013,"4433,960231"
80043,60,11,M,HGH,RET,F,"271,3786923",01/06/1981,01/10/9999,01/08/2005,"7124,305231"
80044,30,6,M,HGH,STE,F,"267,9463846",01/01/2013,08/02/2016,04/11/2010,"5915,849077"
80045,63,11,W,HGH,RET,F,"251,6986154",07/05/2003,01/10/9999,07/07/2005,"5328,599923"
80046,66,12,M,HGH,RET,F,"188,0729231",21/12/1951,01/10/9999,22/07/2004,"3609,949846"
80047,36,13,M,HGH,PVE,M,"270,4099231",15/03/2010,01/09/2014,30/03/2004,"967,6870769"
80048,52,11,M,HGH,STE,F,"380,1769231",01/01/1976,01/01/1993,25/07/2005,"7692,307692"
80049,67,11,M,BCR,RET,M,"377,7878462",12/06/1950,01/10/9999,28/12/2005,"1109,256154"
80050,39,0,M,HGH,SFE,M,"164,0153846",30/07/1978,01/06/2005,05/09/2016,"2288,700154"
80051,65,10,M,HGH,RET,F,"230,7092308",01/01/1986,01/10/9999,26/10/2006,"5366,711538"
80052,31,4,S,HGH,PVE,M,"227,5",01/06/1988,01/02/2012,14/05/2013,0
80053,61,11,W,HGH,STE,M,"255,1153846",31/12/1969,13/08/1984,13/05/2006,"364,5911538"
80054,48,13,M,HGH,STE,F,"261,5666923",18/01/1997,01/10/2012,23/04/2004,"2515,186692"
80055,66,0,M,HGH,RET,M,"212,5837692",01/01/2015,01/10/9999,21/09/2016,"4979,423077"
80056,63,2,M,HGH,RET,F,"1546,268923",01/11/1970,01/10/9999,26/09/2014,"6273,721077"
80057,36,11,M,HGH,PVE,M,"192,3076923",01/05/2011,01/10/2000,30/07/2005,"2307,692308"
80058,61,12,M,HGH,RET,M,"331,5022308",01/01/1983,01/10/9999,02/11/2004,"5295,576923"
80059,41,12,M,HGH,PVE,M,"345,5692308",20/03/1976,20/01/2012,25/02/2005,"1188,935769"
80060,40,7,S,BCR,PVE,F,"193,452",12/09/1977,01/02/2005,04/05/2010,"782,9499231"
80061,39,11,M,MAS,STE,F,"453,5538462",24/11/2008,17/07/2006,18/10/2005,"964,2692308"
80062,46,14,M,BCR,STE,M,"349,2523077",01/07/2012,08/09/2015,12/09/2002,"2288,700154"
80063,32,0,S,HGH,PVE,M,170,15/03/2003,01/10/9999,30/09/2016,"1638,461538"
80064,38,0,M,HGH,PVE,M,"329,5439231",27/01/1979,01/01/2014,30/09/2016,"2307,692308"
80065,68,3,M,HGH,RET,F,"158,6442308",01/01/1980,01/10/9999,20/03/2014,"1738,846154"
80066,24,0,M,HGH,PVE,M,"369,2307692",25/10/1993,01/01/2013,27/09/2016,"451,5282308"
80067,68,8,W,SEC,RET,F,"376,9267692",20/08/1981,01/10/9999,23/02/2009,"4742,307692"
80068,36,3,M,HGH,STE,M,"390,6025385",01/03/1981,01/07/2004,10/03/2014,"435,1597692"
80069,39,12,M,BCR,PVE,M,"440,6735385",04/10/1978,01/07/2003,10/05/2005,"2288,700154"
80070,53,0,M,BCR,PVE,M,"576,9230769",01/01/1976,01/01/2003,26/09/2016,"319,8257692"
80071,39,2,M,HGH,STE,F,"293,2097692",01/07/2005,15/07/2013,22/04/2015,"4574,510538"
80072,64,4,M,HGH,RET,M,"154,0866923",01/04/1993,01/10/9999,27/08/2012,"304,6513846"
80073,29,3,M,HGH,PVE,F,"172,3076923",01/05/2014,15/12/2011,09/12/2013,"2307,692308"
80074,40,13,S,BCR,PVE,F,"541,93",17/10/1977,01/08/2006,18/09/2003,"807,6923077"
80075,29,2,S,HGH,PVE,M,"230,7692308",01/01/2001,10/12/2015,27/04/2015,"3525,115385"
80076,35,7,M,HGH,STE,M,"470,7187692",14/03/2006,25/04/2005,01/07/2010,"3316,579077"
80077,56,14,M,HGH,PVE,M,"1168,7",10/01/2007,26/10/1981,06/06/2003,"3910,877692"
80078,41,3,M,HGH,PVE,F,"260,1239231",15/03/1976,12/08/2014,09/07/2013,"990,1182308"
80079,33,10,M,HGH,PVE,F,"314,3202308",01/06/2011,01/01/2008,24/04/2007,"443,5138462"
80080,41,2,M,HGH,PVE,F,"257,1769231",01/01/2000,01/07/2015,26/05/2015,"4742,307692"
80081,34,3,S,HGH,STE,M,"285,4746154",01/09/2011,01/12/2013,24/12/2013,"2288,700154"
80082,57,0,W,HGH,RET,M,"380,1548462",20/07/1960,01/10/9999,28/09/2016,"2307,692308"
80083,46,3,M,HGH,PVE,F,"265,1601538",10/06/1989,05/05/2010,03/10/2013,"1130,178846"
80084,71,5,M,HGH,RET,F,"176,4156923",01/01/1948,01/10/9999,21/02/2012,"1478,164154"
80085,51,4,M,HGH,PVE,M,"311,6076923",22/03/1966,01/07/2003,10/07/2012,"8171,985"
80086,33,3,M,HGH,PVE,F,"218,0785385",01/05/1989,01/11/2010,27/07/2013,"790,3846154"
80087,55,12,M,BCR,SFE,F,"307,6923077",20/07/1972,17/06/1996,07/04/2005,"7629,000615"
80088,64,3,S,BCR,RET,F,"465,5976923",01/01/1979,01/10/9999,03/01/2014,"4201,387308"
80089,61,11,W,HGH,RET,F,"250,7244615",01/01/2007,01/10/9999,14/07/2005,"5371,453846"
80090,36,10,M,HGH,STE,M,"500,5076923",01/01/1985,01/06/2005,22/03/2007,"3270,461692"
80091,52,4,M,HGH,PVE,M,"180,7692308",01/01/2005,01/08/2003,15/01/2013,"2268,491692"
80092,32,10,M,BCR,PVE,M,"2589,938462",01/06/2012,01/09/2005,19/10/2006,"10680,60092"
80093,59,11,M,BCR,PVE,F,"1043,982538",01/01/2000,12/05/1983,15/10/2005,"1173,531538"
80094,25,2,S,BCR,PVE,M,"308,8615385",13/09/1992,09/02/2015,02/02/2015,"948,4615385"
80095,68,4,W,BCR,RET,F,"297,8510769",01/01/1980,01/10/9999,20/11/2012,"761,6286154"
80096,66,13,D,BCR,RET,M,"247,4765385",23/02/1962,01/10/9999,16/10/2003,"304,6513846"
80097,41,10,M,HGH,STE,F,"275,5384615",01/01/1990,13/12/1999,26/12/2006,"6480,643769"
80098,56,9,S,HGH,PVE,F,"310,2538462",16/01/1999,06/04/2009,19/05/2008,"5650,876"
80099,30,2,S,BCR,PVE,F,"176,1538462",01/04/2012,02/10/2014,03/11/2014,"2260,865231"
80100,30,4,S,BCR,STE,M,"653,4076923",01/08/2015,17/06/2016,16/01/2013,"1722,307923"
80101,49,12,M,BCR,STE,F,"454,6615385",15/07/2000,01/10/1995,04/07/2005,"9149,021154"
80102,24,3,S,HGH,STE,M,"370,6769231",24/11/1998,11/09/2013,12/09/2013,"2338,527846"
80103,43,10,M,HGH,PVE,F,"246,1538462",01/09/2008,01/10/9999,30/12/2006,"386,5105385"
80104,24,2,M,SEC,PVE,F,"179,0568462",01/03/2014,09/02/2016,22/07/2014,"5258,532538"
80105,24,0,S,HGH,PVE,M,"296,3769231",31/12/2014,01/02/2014,16/09/2016,"7692,307692"
80106,37,0,S,BCR,PVE,M,"228,2050769",24/02/2015,01/03/2016,26/09/2016,"2268,491692"
80107,56,0,M,HGH,RET,M,"381,9333077",01/01/1963,01/10/9999,07/10/2016,"2307,692308"
80108,55,9,M,SEC,PVE,F,"217,7769231",01/01/2008,01/10/9999,08/04/2008,"1650,197"
80109,47,2,W,HGH,RET,F,"437,0796923",19/09/1970,01/10/9999,18/08/2014,"4615,384615"
80110,61,11,M,HGH,STE,M,"257,8538462",01/05/2000,01/03/1978,02/12/2005,"2307,692308"
80111,55,12,M,HGH,PVE,M,"283,1199231",01/05/1986,01/09/2015,04/11/2004,"4615,384615"
80112,57,4,M,HGH,STE,F,"342,344",26/01/1960,05/05/1985,13/08/2012,"671,5489231"
80113,37,9,M,HGH,STE,M,"581,4853846",01/05/2009,15/05/2006,09/05/2008,"3076,923077"
80114,61,6,M,BCR,PVE,F,"246,0615385",01/01/2008,19/04/2002,24/11/2010,"3969,074538"
80115,68,5,M,HGH,RET,M,"337,0761538",01/01/1983,01/10/9999,13/03/2012,"5366,711538"
80116,47,2,M,HGH,STE,M,"274,9497692",03/11/1970,29/01/1990,30/12/2014,"4292,430538"
80117,57,2,M,HGH,PVE,F,"212,7692308",01/01/2010,28/02/2014,05/11/2014,"2307,692308"
80118,53,11,M,HGH,STE,F,"299,1569231",01/09/1983,23/09/1988,25/07/2005,"2307,692308"
80119,40,12,S,HGH,PVE,M,"517,6717692",08/03/2006,01/07/2000,21/02/2005,"2475,295538"
80120,44,10,M,HGH,PVE,F,"276,9",01/06/2000,06/05/2014,30/08/2006,"2493,548385"
80121,48,0,M,HGH,SFE,F,"170,9134615",24/06/1989,01/10/9999,14/09/2016,"2307,692308"
80122,59,11,M,HGH,RET,F,"212,3626923",20/06/1986,01/10/9999,08/08/2005,"3106,211538"
80123,36,10,S,BCR,STE,F,"487,6945385",01/01/2013,16/12/2013,22/08/2006,"4615,384615"
80124,61,7,M,HGH,PVE,M,"369,2307692",05/09/1956,01/10/9999,25/09/2009,"2307,692308"
80125,61,2,W,HGH,STE,F,"262,6040769",01/01/1994,01/10/9999,25/11/2014,"480,9760769"
80126,33,2,M,BCR,PVE,M,"184,6153846",01/08/1995,01/02/2013,30/10/2014,"2307,692308"
80127,48,3,M,HGH,PVE,M,"281,657",01/01/2008,21/04/2008,17/09/2013,"6134,954615"
80128,42,3,M,BCR,STE,F,"354,9653077",01/06/2000,01/11/2002,24/07/2013,"2892,192923"
80129,57,12,M,HGH,RET,F,"148,3538462",10/02/2008,01/10/9999,13/06/2005,"3414,461538"
80130,65,11,D,HGH,RET,F,"387,1553077",01/01/2005,01/10/9999,12/07/2005,"1975,961538"
80131,38,4,M,BCR,PVE,F,"411,2823077",07/10/2001,27/09/2015,20/11/2012,"1597,572615"
80132,42,8,M,BCR,PVE,F,"397,8445385",01/08/2010,22/09/2008,22/09/2008,"2307,692308"
80133,23,0,M,BCR,PVE,F,"253,8461538",14/01/1994,01/02/2014,08/10/2016,"357,822"
80134,57,0,M,HGH,RET,M,"337,6817692",09/08/1989,01/10/9999,06/10/2016,"7692,307692"
80135,42,12,D,BCR,PVE,F,"647,9",01/02/2000,04/12/2007,15/09/2004,"7692,307692"
80136,46,12,M,HGH,PVE,M,"391,2538462",31/12/1971,01/01/2006,06/04/2005,"3951,923077"
80137,59,0,M,HGH,PVE,M,"419,1746154",21/09/1958,25/05/1978,06/10/2016,"2307,692308"
80138,33,1,M,BCR,PVE,F,"384,6153846",01/02/2015,01/04/2014,14/01/2016,"4615,384615"
80139,69,11,M,HGH,RET,F,"268,1492308",01/05/1978,01/10/9999,28/06/2006,"3161,538462"
80140,35,12,S,BCR,TEA,F,"1033,438462",28/02/1982,10/03/2014,14/05/2005,"12269,90931"
80141,57,9,M,HGH,SFE,M,"307,4802308",01/05/1992,01/01/2002,10/12/2007,"952,0064615"
80142,61,1,M,BCR,PVE,M,"292,3076923",01/06/1980,01/06/1999,29/09/2015,"184,5384615"
80143,61,11,M,BCR,STE,F,"374,1588462",01/01/1989,20/08/1982,11/07/2005,"2307,692308"
80144,58,13,M,BCR,STE,F,"277,6685385",01/08/1995,31/01/1989,18/09/2003,"2307,692308"
80145,43,1,M,HGH,PVE,F,"287,8923077",01/03/1990,26/11/2013,08/02/2016,0
80146,63,10,W,HGH,RET,F,"211,0810769",01/01/2010,01/10/9999,19/02/2007,"5311,384615"
80147,25,1,S,HGH,PVE,M,"178,8846154",03/08/1992,18/02/2013,01/07/2016,"1533,346154"
80148,62,1,M,HGH,STE,M,"239,2066923",28/09/1955,01/02/1980,24/03/2016,"2149,276692"
80149,42,11,M,HGH,PVE,F,"184,7076923",01/01/2006,14/09/2006,19/04/2006,"2307,692308"
80150,35,3,S,BCR,STE,M,"410,8461538",05/11/1982,01/06/2006,29/01/2014,"316,8438462"
80151,34,9,M,HGH,STE,M,"253,2666923",27/10/1985,01/11/2010,19/05/2008,"790,3846154"
80152,48,9,M,HGH,STE,M,"396,31",20/10/2000,04/12/2015,24/09/2007,"4615,384615"
80153,38,1,S,HGH,PVE,M,"474,6076923",01/01/2011,01/05/2014,13/07/2015,"3846,153846"
80154,56,5,M,HGH,PVE,M,"312,2741538",20/06/2008,01/12/1983,19/10/2011,"2307,692308"
80155,55,5,W,HGH,RET,F,"137,4062308",01/01/1999,01/10/9999,08/05/2012,"1119,039231"
80156,37,3,M,MAS,PVE,F,"1238,723077",08/08/2013,01/07/2010,24/07/2013,"2307,692308"
80157,53,8,M,HGH,PVE,F,"273,0769231",03/12/1994,01/09/2001,29/04/2009,"846,1538462"
80158,40,4,M,BCR,PVE,M,"384,6153846",01/06/2002,15/02/2007,26/06/2013,"269,3053846"
80159,64,11,M,BCR,RET,F,"218,7169231",23/09/1979,01/10/9999,25/11/2005,"987,9807692"
80160,69,12,M,BCR,RET,M,"289,3153846",01/10/1969,01/10/9999,24/08/2004,"553,2692308"
80161,71,11,M,HGH,RET,M,"287,5456923",06/04/1960,01/10/9999,26/12/2005,"1185,576923"
80162,24,1,S,HGH,PVE,M,"546,7923077",14/03/2014,01/03/2016,15/03/2016,"4615,384615"
80163,65,10,M,HGH,RET,M,"231,3460769",30/03/1952,01/10/9999,21/07/2006,"5366,711538"
80164,39,12,M,BCR,PVE,M,"440,6735385",04/10/1978,01/07/2003,10/05/2005,"2307,692308"
80165,73,2,D,HGH,RET,F,"1098,238462",01/01/2012,01/10/9999,20/04/2015,"3951,923077"
80166,45,10,M,BCR,PVE,F,"433,3923077",25/09/1999,01/06/2002,13/07/2006,"7537,23"
80167,33,8,M,HGH,SFE,F,"250,5076923",01/05/2014,04/05/2009,27/04/2009,"4609,535"
80168,52,12,M,BCR,STE,F,"368,1927692",01/06/2005,11/01/2000,04/07/2005,"6560,192308"
80169,59,11,M,HGH,RET,F,"207,3426154",20/03/2012,01/10/9999,22/07/2005,"3638,011077"
80170,65,0,W,HGH,RET,M,"216,806",01/05/1990,01/10/9999,06/10/2016,"959,1764615"
80171,31,1,S,HGH,PVE,F,"232,1923077",22/05/1986,15/09/2005,16/07/2015,"565,158"
80172,48,13,M,BCR,PVE,F,"279,4923077",01/01/1996,20/06/2013,29/01/2004,"4298,553385"
80173,31,4,S,HGH,STE,F,"515,2918462",01/01/1995,02/02/2015,30/07/2012,"2307,692308"
80174,42,3,M,HGH,PVE,F,"220,0639231",19/06/1975,05/10/2012,07/11/2013,"521,0573846"
80175,35,4,M,BCR,PVE,F,"231,3615385",05/06/1982,01/12/2012,24/12/2012,"2945,338154"
80176,50,11,M,HGH,PVE,M,"275,3846154",04/10/1967,01/11/1998,10/08/2005,"2307,692308"
80177,37,9,M,HGH,PVE,F,"184,6153846",27/01/2007,01/06/1999,10/04/2008,"2266,477692"
80178,42,6,M,HGH,PVE,F,"160,3023846",16/05/1993,01/11/2010,25/11/2010,"971,1610769"
80179,24,5,S,HGH,TEA,M,"280,0923077",18/11/1993,15/05/2015,22/12/2011,"2307,692308"
80180,58,10,M,HGH,RET,M,"287,3876923",28/11/1989,01/10/9999,06/09/2006,"795,3071538"
80181,52,3,M,HGH,STE,F,"291,5545385",01/01/2013,04/11/1999,28/11/2013,"6792,271231"
80182,22,2,S,HGH,PVE,F,"192,3076923",01/01/2005,01/05/2015,18/05/2015,"1219,789923"
80183,46,14,M,HGH,PVE,M,"293,5846154",10/11/1971,01/02/2016,19/05/2003,"4630,137923"
80184,34,11,M,HGH,STE,F,"349,5307692",01/01/2005,01/10/2003,23/03/2006,"2307,692308"
80185,58,10,M,HGH,STE,M,"285,9846154",01/01/2001,13/01/2015,25/05/2007,"2398,693923"
80186,51,11,M,BCR,STE,F,"456,5461538",04/10/2011,15/08/2015,11/07/2005,"4153,846154"
80187,67,10,M,HGH,RET,F,"230,8886154",19/10/1975,10/07/1992,23/04/2007,"790,3846154"
80188,70,3,D,HGH,RET,F,"241,8433077",01/02/2003,01/10/9999,18/04/2014,"1185,576923"
80189,56,0,M,HGH,SFE,F,"180,7692308",01/05/2003,01/03/2015,06/10/2016,"2307,692308"
80190,49,0,M,BCR,PVE,M,"523,0769231",01/03/2016,01/10/2008,07/10/2016,"387,6444615"
80191,58,1,W,HGH,RET,M,"285,6426923",27/08/1959,27/09/2000,11/07/2015,"2307,692308"
80192,64,0,M,HGH,RET,M,"163,5946923",26/03/1953,01/10/9999,06/10/2016,"2371,153846"
80193,21,1,S,HGH,PVE,M,"315,5323077",25/09/1996,01/04/2016,21/12/2015,"2307,692308"
80194,34,0,S,HGH,PVE,M,"176,6261538",20/09/1983,01/03/2016,06/10/2016,"2307,692308"
80195,40,7,M,BCR,STE,M,"549,3903846",19/05/2008,01/02/2001,06/10/2009,"692,3076923"
80196,58,9,M,HGH,PVE,F,"165,3538462",14/10/2010,06/07/2011,03/10/2007,"4469,752615"
80197,22,2,S,HGH,PVE,M,"283,5384615",22/03/1995,01/10/2015,14/05/2015,"2307,692308"
80198,60,8,M,BCR,TEA,M,"505,9092308",01/01/1975,01/10/9999,21/08/2008,"123,8461538"
80199,33,3,M,HGH,PVE,M,"343,0384615",19/09/1984,22/04/2010,29/04/2014,"4615,384615"
80200,48,8,M,HGH,STE,M,"183,4674615",30/04/1969,07/04/1997,18/11/2008,"5384,615385"
80201,49,11,M,HGH,PVE,F,"285,6538462",01/01/2002,01/11/1990,26/09/2005,"5784,385769"
80202,49,0,M,HGH,STE,F,"315,3846154",01/01/1995,06/12/1995,08/10/2016,"289,4336154"
80203,36,4,M,HGH,PVE,M,"281,7692308",02/02/2010,01/09/2012,26/11/2012,"2974,951923"
80204,58,9,M,HGH,RET,F,"286,6975385",03/10/1978,01/10/9999,21/11/2007,"4615,384615"
80205,67,8,M,HGH,RET,M,"311,7162308",01/01/2006,01/10/9999,05/01/2009,"1190,008154"
80206,63,11,M,HGH,RET,F,"246,0461538",31/12/1990,01/10/9999,03/02/2006,"3319,615385"
80207,48,2,D,HGH,STE,F,"276,9230769",01/03/1989,01/05/2006,23/09/2014,"285,1515385"
80208,55,4,M,BCR,RET,M,"414,4463846",01/05/1966,01/10/9999,06/11/2012,"2307,692308"
80209,62,5,W,HGH,RET,F,"251,1188462",01/10/1975,20/08/1997,02/06/2012,"1776,136077"
80210,56,11,M,HGH,PVE,F,"450,2402308",04/12/2000,01/07/2016,21/12/2005,"1990,787538"
80211,34,7,M,HGH,STE,F,"369,8276923",01/01/2005,01/09/2013,29/10/2009,"2307,692308"
80212,56,11,W,HGH,STE,F,"360,7811538",01/12/1991,01/11/1983,07/11/2005,"7831,340308"
80213,61,0,M,HGH,STE,F,"255,3525385",01/01/2000,15/09/1982,06/10/2016,"4615,384615"
80214,58,2,D,HGH,PVE,M,"246,6461538",15/07/2004,01/07/2014,19/02/2015,"2307,692308"
80215,60,4,M,PRS,PVE,M,"312,5307692",01/09/1964,02/09/1981,07/12/2012,"2307,692308"
80216,65,11,M,HGH,RET,M,"199,9613846",01/03/1980,01/10/9999,17/10/2005,"716,6835385"
80217,39,11,M,HGH,STE,F,"274,5781538",01/07/2000,16/11/1998,09/02/2006,"3242,761692"
80218,29,1,M,BCR,PVE,F,"253,8461538",01/01/2015,01/12/2014,11/12/2015,"171,0769231"
80219,45,2,D,HGH,STE,M,"386,9307692",02/04/1972,11/08/1997,12/05/2015,"831,1827692"
80220,33,3,M,HGH,PVE,F,"525,8615385",01/08/2008,01/11/2008,20/01/2014,"212,9007692"
80221,49,6,M,BCR,STE,F,"361,6461538",01/09/2002,01/09/2004,01/02/2011,"2307,692308"
80222,51,11,M,HGH,STE,F,"265,6076923",19/08/1989,06/06/2005,14/02/2006,"2307,692308"
80223,65,11,D,HGH,RET,F,"213,5630769",01/06/1998,01/10/9999,18/11/2005,4110
80224,26,6,S,HGH,PVE,M,"248,8265385",14/10/1991,28/04/2015,06/05/2011,"948,4615385"
80225,57,14,M,BCR,RET,M,"326,4569231",31/12/1999,01/10/9999,18/11/2002,"7692,307692"
80226,54,12,M,BCR,STE,M,"411,1831538",01/07/1994,01/06/1995,05/05/2005,"7011,376692"
80227,65,10,W,HGH,RET,F,"158,3338462",19/01/2001,01/10/9999,26/10/2006,"2703,115385"
80228,53,4,M,HGH,PVE,F,"204,3461538",30/01/2006,01/09/2012,22/11/2012,"2307,692308"
80229,66,2,W,HGH,RET,F,"191,7692308",15/12/1992,01/10/9999,27/01/2015,"5097,980769"
80230,52,11,M,HGH,PVE,M,"239,5384615",04/09/1990,31/10/2008,30/09/2005,"2307,692308"
80231,32,9,M,HGH,PVE,F,"297,1461538",01/01/2007,09/12/2006,21/09/2007,"7668,693308"
80232,67,10,M,BCR,RET,F,"307,8529231",01/09/1987,01/10/9999,19/12/2006,"1636,096154"
80233,42,6,M,HGH,PVE,M,"258,7997692",30/07/2005,01/06/2011,19/08/2010,"2093,393692"
80234,41,10,M,HGH,STE,M,"439,5118462",01/05/2005,25/03/2009,17/01/2007,"2307,692308"
80235,40,9,M,BCR,STE,M,"376,9230769",01/09/2014,16/09/1996,03/03/2008,"474,5812308"
80236,29,2,M,HGH,STE,M,"343,3461538",07/07/1988,04/05/2010,18/06/2015,"7692,307692"
80237,62,0,M,HGH,RET,F,"214,2623846",01/03/1995,09/12/2001,21/09/2016,"291,3846154"
80238,62,10,M,BCR,PVE,M,"192,3076923",23/09/2001,01/04/2008,07/07/2006,"1067,019231"
80239,49,11,D,HGH,STE,F,"504,055",01/01/2016,01/07/2016,29/12/2005,"6654,610385"
80240,54,13,M,HGH,PVE,M,"1427,107692",22/07/1963,20/05/2001,12/07/2003,"5269,914769"
80241,31,4,M,BCR,PVE,F,"400,0205385",01/01/2015,27/01/2007,23/10/2012,"153,7692308"
80242,39,5,M,HGH,PVE,F,"169,4070769",20/02/2000,08/11/2008,25/08/2011,"1650,197"
80243,71,4,W,BCR,RET,F,"176,7516923",09/05/1953,01/10/9999,22/01/2013,"2884,903846"
80244,38,12,M,BCR,SFE,M,"567,8076923",26/11/2001,01/06/2011,09/05/2005,"2307,692308"
80245,30,1,M,MAS,PVE,F,"452,6310769",27/01/2015,01/04/2015,01/07/2016,"7692,307692"
80246,36,6,S,BCR,PVE,M,"657,1615385",01/09/2014,24/09/2015,19/10/2010,"1580,769231"
80247,34,6,M,HGH,PVE,M,"1063,246154",10/10/2010,27/02/2012,13/10/2010,"7692,307692"
80248,62,11,W,HGH,STE,M,"223,8664615",01/02/2013,21/11/2005,23/11/2005,"2446,511385"
80249,52,12,M,BCR,SFE,M,"230,7692308",01/01/1970,11/04/2013,27/12/2004,"2307,692308"
80250,51,7,M,HGH,STE,F,"230,1268462",02/05/1993,08/03/2011,08/03/2010,"3082,5"
80251,68,10,M,BCR,RET,F,"200,8036923",01/06/2013,01/10/9999,28/05/2007,"3517,211538"
80252,69,11,W,HGH,RET,F,"240,1501538",04/12/1998,01/10/9999,05/08/2005,"3280,096154"
80253,33,2,M,HGH,PVE,M,"281,3307692",01/01/1999,10/02/2014,20/10/2014,"2307,692308"
